date,equity,n,cash
2026-07-24,1461100.8817906992,10,89440.88179069915
2026-07-27,1422990.8817906992,10,89440.88179069915
2026-07-28,1331146.8817906992,10,89440.88179069915
2026-07-29,1271280.8817906992,10,89440.88179069915
2026-07-30,1297598.8817906992,10,89440.88179069915
2026-07-31,1379231.8817906992,10,89440.88179069915
2026-08-03,1370226.8267720991,10,120310.82677209922
2026-08-04,1404482.8267720991,10,120310.82677209922
2026-08-05,1422672.8267720991,10,120310.82677209922
2026-08-06,1435618.8267720991,10,120310.82677209922
2026-08-07,1436044.8267720991,10,120310.82677209922
2026-08-10,1466748.8267720991,10,120310.82677209922
2026-08-11,1475320.8267720991,10,120310.82677209922
2026-08-12,1476800.8267720991,10,120310.82677209922
2026-08-13,1458538.8267720991,10,120310.82677209922
2026-08-14,1475764.8267720991,10,120310.82677209922
2026-08-18,1430855.8267720991,10,120310.82677209922
2026-08-19,1395435.8267720991,10,120310.82677209922
2026-08-20,1416112.8267720991,10,120310.82677209922
2026-08-21,1401132.8267720991,10,120310.82677209922
2026-08-24,1412095.8267720991,10,120310.82677209922
2026-08-25,1429932.8267720991,10,120310.82677209922
2026-08-26,1433158.8267720991,10,120310.82677209922
2026-08-27,1416425.8267720991,10,120310.82677209922
2026-08-28,1439942.8267720991,10,120310.82677209922
2026-08-31,1437811.8267720991,10,120310.82677209922
2026-09-01,1428649.4800180993,10,144810.48001809933
